option_id,option_name,option_value,autoload
29,rewrite_rules,"a:185:{s:24:""^wc-auth/v([1]{1})/(.*)?"";s:63:""index.php?wc-auth-version=$matches[1]&wc-auth-route=$matches[2]"";s:22:""^wc-api/v([1-3]{1})/?$"";s:51:""index.php?wc-api-version=$matches[1]&wc-api-route=/"";s:24:""^wc-api/v([1-3]{1})(.*)?"";s:61:""index.php?wc-api-version=$matches[1]&wc-api-route=$matches[2]"";s:21:""^wc/file/transient/?$"";s:33:""index.php?wc-transient-file-name="";s:24:""^wc/file/transient/(.+)$"";s:44:""index.php?wc-transient-file-name=$matches[1]"";s:7:""shop/?$"";s:27:""index.php?post_type=product"";s:37:""shop/feed/(feed|rdf|rss|rss2|atom)/?$"";s:44:""index.php?post_type=product&feed=$matches[1]"";s:32:""shop/(feed|rdf|rss|rss2|atom)/?$"";s:44:""index.php?post_type=product&feed=$matches[1]"";s:24:""shop/page/([0-9]{1,})/?$"";s:45:""index.php?post_type=product&paged=$matches[1]"";s:61:""^\.well-known\/apple-developer-merchantid-domain-association$"";s:57:""index.php?apple-developer-merchantid-domain-association=1"";s:11:""^wp-json/?$"";s:22:""index.php?rest_route=/"";s:14:""^wp-json/(.*)?"";s:33:""index.php?rest_route=/$matches[1]"";s:21:""^index.php/wp-json/?$"";s:22:""index.php?rest_route=/"";s:24:""^index.php/wp-json/(.*)?"";s:33:""index.php?rest_route=/$matches[1]"";s:17:""^wp-sitemap\.xml$"";s:23:""index.php?sitemap=index"";s:17:""^wp-sitemap\.xsl$"";s:36:""index.php?sitemap-stylesheet=sitemap"";s:23:""^wp-sitemap-index\.xsl$"";s:34:""index.php?sitemap-stylesheet=index"";s:48:""^wp-sitemap-([a-z]+?)-([a-z\d_-]+?)-(\d+?)\.xml$"";s:75:""index.php?sitemap=$matches[1]&sitemap-subtype=$matches[2]&paged=$matches[3]"";s:34:""^wp-sitemap-([a-z]+?)-(\d+?)\.xml$"";s:47:""index.php?sitemap=$matches[1]&paged=$matches[2]"";s:47:""category/(.+?)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:52:""index.php?category_name=$matches[1]&feed=$matches[2]"";s:42:""category/(.+?)/(feed|rdf|rss|rss2|atom)/?$"";s:52:""index.php?category_name=$matches[1]&feed=$matches[2]"";s:23:""category/(.+?)/embed/?$"";s:46:""index.php?category_name=$matches[1]&embed=true"";s:35:""category/(.+?)/page/?([0-9]{1,})/?$"";s:53:""index.php?category_name=$matches[1]&paged=$matches[2]"";s:32:""category/(.+?)/wc-api(/(.*))?/?$"";s:54:""index.php?category_name=$matches[1]&wc-api=$matches[3]"";s:43:""category/(.+?)/wc/file/transient(/(.*))?/?$"";s:65:""index.php?category_name=$matches[1]&wc/file/transient=$matches[3]"";s:17:""category/(.+?)/?$"";s:35:""index.php?category_name=$matches[1]"";s:44:""tag/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:42:""index.php?tag=$matches[1]&feed=$matches[2]"";s:39:""tag/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:42:""index.php?tag=$matches[1]&feed=$matches[2]"";s:20:""tag/([^/]+)/embed/?$"";s:36:""index.php?tag=$matches[1]&embed=true"";s:32:""tag/([^/]+)/page/?([0-9]{1,})/?$"";s:43:""index.php?tag=$matches[1]&paged=$matches[2]"";s:29:""tag/([^/]+)/wc-api(/(.*))?/?$"";s:44:""index.php?tag=$matches[1]&wc-api=$matches[3]"";s:40:""tag/([^/]+)/wc/file/transient(/(.*))?/?$"";s:55:""index.php?tag=$matches[1]&wc/file/transient=$matches[3]"";s:14:""tag/([^/]+)/?$"";s:25:""index.php?tag=$matches[1]"";s:45:""type/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:50:""index.php?post_format=$matches[1]&feed=$matches[2]"";s:40:""type/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:50:""index.php?post_format=$matches[1]&feed=$matches[2]"";s:21:""type/([^/]+)/embed/?$"";s:44:""index.php?post_format=$matches[1]&embed=true"";s:33:""type/([^/]+)/page/?([0-9]{1,})/?$"";s:51:""index.php?post_format=$matches[1]&paged=$matches[2]"";s:15:""type/([^/]+)/?$"";s:33:""index.php?post_format=$matches[1]"";s:55:""product-category/(.+?)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:50:""index.php?product_cat=$matches[1]&feed=$matches[2]"";s:50:""product-category/(.+?)/(feed|rdf|rss|rss2|atom)/?$"";s:50:""index.php?product_cat=$matches[1]&feed=$matches[2]"";s:31:""product-category/(.+?)/embed/?$"";s:44:""index.php?product_cat=$matches[1]&embed=true"";s:43:""product-category/(.+?)/page/?([0-9]{1,})/?$"";s:51:""index.php?product_cat=$matches[1]&paged=$matches[2]"";s:25:""product-category/(.+?)/?$"";s:33:""index.php?product_cat=$matches[1]"";s:52:""product-tag/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:50:""index.php?product_tag=$matches[1]&feed=$matches[2]"";s:47:""product-tag/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:50:""index.php?product_tag=$matches[1]&feed=$matches[2]"";s:28:""product-tag/([^/]+)/embed/?$"";s:44:""index.php?product_tag=$matches[1]&embed=true"";s:40:""product-tag/([^/]+)/page/?([0-9]{1,})/?$"";s:51:""index.php?product_tag=$matches[1]&paged=$matches[2]"";s:22:""product-tag/([^/]+)/?$"";s:33:""index.php?product_tag=$matches[1]"";s:35:""product/[^/]+/attachment/([^/]+)/?$"";s:32:""index.php?attachment=$matches[1]"";s:45:""product/[^/]+/attachment/([^/]+)/trackback/?$"";s:37:""index.php?attachment=$matches[1]&tb=1"";s:65:""product/[^/]+/attachment/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:49:""index.php?attachment=$matches[1]&feed=$matches[2]"";s:60:""product/[^/]+/attachment/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:49:""index.php?attachment=$matches[1]&feed=$matches[2]"";s:60:""product/[^/]+/attachment/([^/]+)/comment-page-([0-9]{1,})/?$"";s:50:""index.php?attachment=$matches[1]&cpage=$matches[2]"";s:41:""product/[^/]+/attachment/([^/]+)/embed/?$"";s:43:""index.php?attachment=$matches[1]&embed=true"";s:24:""product/([^/]+)/embed/?$"";s:40:""index.php?product=$matches[1]&embed=true"";s:28:""product/([^/]+)/trackback/?$"";s:34:""index.php?product=$matches[1]&tb=1"";s:48:""product/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:46:""index.php?product=$matches[1]&feed=$matches[2]"";s:43:""product/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:46:""index.php?product=$matches[1]&feed=$matches[2]"";s:36:""product/([^/]+)/page/?([0-9]{1,})/?$"";s:47:""index.php?product=$matches[1]&paged=$matches[2]"";s:43:""product/([^/]+)/comment-page-([0-9]{1,})/?$"";s:47:""index.php?product=$matches[1]&cpage=$matches[2]"";s:33:""product/([^/]+)/wc-api(/(.*))?/?$"";s:48:""index.php?product=$matches[1]&wc-api=$matches[3]"";s:44:""product/([^/]+)/wc/file/transient(/(.*))?/?$"";s:59:""index.php?product=$matches[1]&wc/file/transient=$matches[3]"";s:39:""product/[^/]+/([^/]+)/wc-api(/(.*))?/?$"";s:51:""index.php?attachment=$matches[1]&wc-api=$matches[3]"";s:50:""product/[^/]+/attachment/([^/]+)/wc-api(/(.*))?/?$"";s:51:""index.php?attachment=$matches[1]&wc-api=$matches[3]"";s:50:""product/[^/]+/([^/]+)/wc/file/transient(/(.*))?/?$"";s:62:""index.php?attachment=$matches[1]&wc/file/transient=$matches[3]"";s:61:""product/[^/]+/attachment/([^/]+)/wc/file/transient(/(.*))?/?$"";s:62:""index.php?attachment=$matches[1]&wc/file/transient=$matches[3]"";s:32:""product/([^/]+)(?:/([0-9]+))?/?$"";s:46:""index.php?product=$matches[1]&page=$matches[2]"";s:24:""product/[^/]+/([^/]+)/?$"";s:32:""index.php?attachment=$matches[1]"";s:34:""product/[^/]+/([^/]+)/trackback/?$"";s:37:""index.php?attachment=$matches[1]&tb=1"";s:54:""product/[^/]+/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:49:""index.php?attachment=$matches[1]&feed=$matches[2]"";s:49:""product/[^/]+/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:49:""index.php?attachment=$matches[1]&feed=$matches[2]"";s:49:""product/[^/]+/([^/]+)/comment-page-([0-9]{1,})/?$"";s:50:""index.php?attachment=$matches[1]&cpage=$matches[2]"";s:30:""product/[^/]+/([^/]+)/embed/?$"";s:43:""index.php?attachment=$matches[1]&embed=true"";s:12:""robots\.txt$"";s:18:""index.php?robots=1"";s:13:""favicon\.ico$"";s:19:""index.php?favicon=1"";s:48:"".*wp-(atom|rdf|rss|rss2|feed|commentsrss2)\.php$"";s:18:""index.php?feed=old"";s:20:"".*wp-app\.php(/.*)?$"";s:19:""index.php?error=403"";s:18:"".*wp-register.php$"";s:23:""index.php?register=true"";s:32:""feed/(feed|rdf|rss|rss2|atom)/?$"";s:27:""index.php?&feed=$matches[1]"";s:27:""(feed|rdf|rss|rss2|atom)/?$"";s:27:""index.php?&feed=$matches[1]"";s:8:""embed/?$"";s:21:""index.php?&embed=true"";s:20:""page/?([0-9]{1,})/?$"";s:28:""index.php?&paged=$matches[1]"";s:27:""comment-page-([0-9]{1,})/?$"";s:38:""index.php?&page_id=2&cpage=$matches[1]"";s:17:""wc-api(/(.*))?/?$"";s:29:""index.php?&wc-api=$matches[2]"";s:28:""wc/file/transient(/(.*))?/?$"";s:40:""index.php?&wc/file/transient=$matches[2]"";s:41:""comments/feed/(feed|rdf|rss|rss2|atom)/?$"";s:42:""index.php?&feed=$matches[1]&withcomments=1"";s:36:""comments/(feed|rdf|rss|rss2|atom)/?$"";s:42:""index.php?&feed=$matches[1]&withcomments=1"";s:17:""comments/embed/?$"";s:21:""index.php?&embed=true"";s:26:""comments/wc-api(/(.*))?/?$"";s:29:""index.php?&wc-api=$matches[2]"";s:37:""comments/wc/file/transient(/(.*))?/?$"";s:40:""index.php?&wc/file/transient=$matches[2]"";s:44:""search/(.+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:40:""index.php?s=$matches[1]&feed=$matches[2]"";s:39:""search/(.+)/(feed|rdf|rss|rss2|atom)/?$"";s:40:""index.php?s=$matches[1]&feed=$matches[2]"";s:20:""search/(.+)/embed/?$"";s:34:""index.php?s=$matches[1]&embed=true"";s:32:""search/(.+)/page/?([0-9]{1,})/?$"";s:41:""index.php?s=$matches[1]&paged=$matches[2]"";s:29:""search/(.+)/wc-api(/(.*))?/?$"";s:42:""index.php?s=$matches[1]&wc-api=$matches[3]"";s:40:""search/(.+)/wc/file/transient(/(.*))?/?$"";s:53:""index.php?s=$matches[1]&wc/file/transient=$matches[3]"";s:14:""search/(.+)/?$"";s:23:""index.php?s=$matches[1]"";s:47:""author/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:50:""index.php?author_name=$matches[1]&feed=$matches[2]"";s:42:""author/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:50:""index.php?author_name=$matches[1]&feed=$matches[2]"";s:23:""author/([^/]+)/embed/?$"";s:44:""index.php?author_name=$matches[1]&embed=true"";s:35:""author/([^/]+)/page/?([0-9]{1,})/?$"";s:51:""index.php?author_name=$matches[1]&paged=$matches[2]"";s:32:""author/([^/]+)/wc-api(/(.*))?/?$"";s:52:""index.php?author_name=$matches[1]&wc-api=$matches[3]"";s:43:""author/([^/]+)/wc/file/transient(/(.*))?/?$"";s:63:""index.php?author_name=$matches[1]&wc/file/transient=$matches[3]"";s:17:""author/([^/]+)/?$"";s:33:""index.php?author_name=$matches[1]"";s:69:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/feed/(feed|rdf|rss|rss2|atom)/?$"";s:80:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&feed=$matches[4]"";s:64:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/(feed|rdf|rss|rss2|atom)/?$"";s:80:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&feed=$matches[4]"";s:45:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/embed/?$"";s:74:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&embed=true"";s:57:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/page/?([0-9]{1,})/?$"";s:81:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&paged=$matches[4]"";s:54:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/wc-api(/(.*))?/?$"";s:82:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&wc-api=$matches[5]"";s:65:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/wc/file/transient(/(.*))?/?$"";s:93:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&wc/file/transient=$matches[5]"";s:39:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/?$"";s:63:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]"";s:56:""([0-9]{4})/([0-9]{1,2})/feed/(feed|rdf|rss|rss2|atom)/?$"";s:64:""index.php?year=$matches[1]&monthnum=$matches[2]&feed=$matches[3]"";s:51:""([0-9]{4})/([0-9]{1,2})/(feed|rdf|rss|rss2|atom)/?$"";s:64:""index.php?year=$matches[1]&monthnum=$matches[2]&feed=$matches[3]"";s:32:""([0-9]{4})/([0-9]{1,2})/embed/?$"";s:58:""index.php?year=$matches[1]&monthnum=$matches[2]&embed=true"";s:44:""([0-9]{4})/([0-9]{1,2})/page/?([0-9]{1,})/?$"";s:65:""index.php?year=$matches[1]&monthnum=$matches[2]&paged=$matches[3]"";s:41:""([0-9]{4})/([0-9]{1,2})/wc-api(/(.*))?/?$"";s:66:""index.php?year=$matches[1]&monthnum=$matches[2]&wc-api=$matches[4]"";s:52:""([0-9]{4})/([0-9]{1,2})/wc/file/transient(/(.*))?/?$"";s:77:""index.php?year=$matches[1]&monthnum=$matches[2]&wc/file/transient=$matches[4]"";s:26:""([0-9]{4})/([0-9]{1,2})/?$"";s:47:""index.php?year=$matches[1]&monthnum=$matches[2]"";s:43:""([0-9]{4})/feed/(feed|rdf|rss|rss2|atom)/?$"";s:43:""index.php?year=$matches[1]&feed=$matches[2]"";s:38:""([0-9]{4})/(feed|rdf|rss|rss2|atom)/?$"";s:43:""index.php?year=$matches[1]&feed=$matches[2]"";s:19:""([0-9]{4})/embed/?$"";s:37:""index.php?year=$matches[1]&embed=true"";s:31:""([0-9]{4})/page/?([0-9]{1,})/?$"";s:44:""index.php?year=$matches[1]&paged=$matches[2]"";s:28:""([0-9]{4})/wc-api(/(.*))?/?$"";s:45:""index.php?year=$matches[1]&wc-api=$matches[3]"";s:39:""([0-9]{4})/wc/file/transient(/(.*))?/?$"";s:56:""index.php?year=$matches[1]&wc/file/transient=$matches[3]"";s:13:""([0-9]{4})/?$"";s:26:""index.php?year=$matches[1]"";s:58:""[0-9]{4}/[0-9]{1,2}/[0-9]{1,2}/[^/]+/attachment/([^/]+)/?$"";s:32:""index.php?attachment=$matches[1]"";s:68:""[0-9]{4}/[0-9]{1,2}/[0-9]{1,2}/[^/]+/attachment/([^/]+)/trackback/?$"";s:37:""index.php?attachment=$matches[1]&tb=1"";s:88:""[0-9]{4}/[0-9]{1,2}/[0-9]{1,2}/[^/]+/attachment/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:49:""index.php?attachment=$matches[1]&feed=$matches[2]"";s:83:""[0-9]{4}/[0-9]{1,2}/[0-9]{1,2}/[^/]+/attachment/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:49:""index.php?attachment=$matches[1]&feed=$matches[2]"";s:83:""[0-9]{4}/[0-9]{1,2}/[0-9]{1,2}/[^/]+/attachment/([^/]+)/comment-page-([0-9]{1,})/?$"";s:50:""index.php?attachment=$matches[1]&cpage=$matches[2]"";s:64:""[0-9]{4}/[0-9]{1,2}/[0-9]{1,2}/[^/]+/attachment/([^/]+)/embed/?$"";s:43:""index.php?attachment=$matches[1]&embed=true"";s:53:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/([^/]+)/embed/?$"";s:91:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&name=$matches[4]&embed=true"";s:57:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/([^/]+)/trackback/?$"";s:85:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&name=$matches[4]&tb=1"";s:77:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:97:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&name=$matches[4]&feed=$matches[5]"";s:72:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:97:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&name=$matches[4]&feed=$matches[5]"";s:65:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/([^/]+)/page/?([0-9]{1,})/?$"";s:98:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&name=$matches[4]&paged=$matches[5]"";s:72:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/([^/]+)/comment-page-([0-9]{1,})/?$"";s:98:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&name=$matches[4]&cpage=$matches[5]"";s:62:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/([^/]+)/wc-api(/(.*))?/?$"";s:99:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&name=$matches[4]&wc-api=$matches[6]"";s:73:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/([^/]+)/wc/file/transient(/(.*))?/?$"";s:110:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&name=$matches[4]&wc/file/transient=$matches[6]"";s:62:""[0-9]{4}/[0-9]{1,2}/[0-9]{1,2}/[^/]+/([^/]+)/wc-api(/(.*))?/?$"";s:51:""index.php?attachment=$matches[1]&wc-api=$matches[3]"";s:73:""[0-9]{4}/[0-9]{1,2}/[0-9]{1,2}/[^/]+/attachment/([^/]+)/wc-api(/(.*))?/?$"";s:51:""index.php?attachment=$matches[1]&wc-api=$matches[3]"";s:73:""[0-9]{4}/[0-9]{1,2}/[0-9]{1,2}/[^/]+/([^/]+)/wc/file/transient(/(.*))?/?$"";s:62:""index.php?attachment=$matches[1]&wc/file/transient=$matches[3]"";s:84:""[0-9]{4}/[0-9]{1,2}/[0-9]{1,2}/[^/]+/attachment/([^/]+)/wc/file/transient(/(.*))?/?$"";s:62:""index.php?attachment=$matches[1]&wc/file/transient=$matches[3]"";s:61:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/([^/]+)(?:/([0-9]+))?/?$"";s:97:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&name=$matches[4]&page=$matches[5]"";s:47:""[0-9]{4}/[0-9]{1,2}/[0-9]{1,2}/[^/]+/([^/]+)/?$"";s:32:""index.php?attachment=$matches[1]"";s:57:""[0-9]{4}/[0-9]{1,2}/[0-9]{1,2}/[^/]+/([^/]+)/trackback/?$"";s:37:""index.php?attachment=$matches[1]&tb=1"";s:77:""[0-9]{4}/[0-9]{1,2}/[0-9]{1,2}/[^/]+/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:49:""index.php?attachment=$matches[1]&feed=$matches[2]"";s:72:""[0-9]{4}/[0-9]{1,2}/[0-9]{1,2}/[^/]+/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:49:""index.php?attachment=$matches[1]&feed=$matches[2]"";s:72:""[0-9]{4}/[0-9]{1,2}/[0-9]{1,2}/[^/]+/([^/]+)/comment-page-([0-9]{1,})/?$"";s:50:""index.php?attachment=$matches[1]&cpage=$matches[2]"";s:53:""[0-9]{4}/[0-9]{1,2}/[0-9]{1,2}/[^/]+/([^/]+)/embed/?$"";s:43:""index.php?attachment=$matches[1]&embed=true"";s:64:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/comment-page-([0-9]{1,})/?$"";s:81:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&cpage=$matches[4]"";s:51:""([0-9]{4})/([0-9]{1,2})/comment-page-([0-9]{1,})/?$"";s:65:""index.php?year=$matches[1]&monthnum=$matches[2]&cpage=$matches[3]"";s:38:""([0-9]{4})/comment-page-([0-9]{1,})/?$"";s:44:""index.php?year=$matches[1]&cpage=$matches[2]"";s:27:"".?.+?/attachment/([^/]+)/?$"";s:32:""index.php?attachment=$matches[1]"";s:37:"".?.+?/attachment/([^/]+)/trackback/?$"";s:37:""index.php?attachment=$matches[1]&tb=1"";s:57:"".?.+?/attachment/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:49:""index.php?attachment=$matches[1]&feed=$matches[2]"";s:52:"".?.+?/attachment/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:49:""index.php?attachment=$matches[1]&feed=$matches[2]"";s:52:"".?.+?/attachment/([^/]+)/comment-page-([0-9]{1,})/?$"";s:50:""index.php?attachment=$matches[1]&cpage=$matches[2]"";s:33:"".?.+?/attachment/([^/]+)/embed/?$"";s:43:""index.php?attachment=$matches[1]&embed=true"";s:16:""(.?.+?)/embed/?$"";s:41:""index.php?pagename=$matches[1]&embed=true"";s:20:""(.?.+?)/trackback/?$"";s:35:""index.php?pagename=$matches[1]&tb=1"";s:40:""(.?.+?)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:47:""index.php?pagename=$matches[1]&feed=$matches[2]"";s:35:""(.?.+?)/(feed|rdf|rss|rss2|atom)/?$"";s:47:""index.php?pagename=$matches[1]&feed=$matches[2]"";s:28:""(.?.+?)/page/?([0-9]{1,})/?$"";s:48:""index.php?pagename=$matches[1]&paged=$matches[2]"";s:35:""(.?.+?)/comment-page-([0-9]{1,})/?$"";s:48:""index.php?pagename=$matches[1]&cpage=$matches[2]"";s:25:""(.?.+?)/wc-api(/(.*))?/?$"";s:49:""index.php?pagename=$matches[1]&wc-api=$matches[3]"";s:36:""(.?.+?)/wc/file/transient(/(.*))?/?$"";s:60:""index.php?pagename=$matches[1]&wc/file/transient=$matches[3]"";s:28:""(.?.+?)/order-pay(/(.*))?/?$"";s:52:""index.php?pagename=$matches[1]&order-pay=$matches[3]"";s:33:""(.?.+?)/order-received(/(.*))?/?$"";s:57:""index.php?pagename=$matches[1]&order-received=$matches[3]"";s:25:""(.?.+?)/orders(/(.*))?/?$"";s:49:""index.php?pagename=$matches[1]&orders=$matches[3]"";s:29:""(.?.+?)/view-order(/(.*))?/?$"";s:53:""index.php?pagename=$matches[1]&view-order=$matches[3]"";s:28:""(.?.+?)/downloads(/(.*))?/?$"";s:52:""index.php?pagename=$matches[1]&downloads=$matches[3]"";s:31:""(.?.+?)/edit-account(/(.*))?/?$"";s:55:""index.php?pagename=$matches[1]&edit-account=$matches[3]"";s:31:""(.?.+?)/edit-address(/(.*))?/?$"";s:55:""index.php?pagename=$matches[1]&edit-address=$matches[3]"";s:34:""(.?.+?)/payment-methods(/(.*))?/?$"";s:58:""index.php?pagename=$matches[1]&payment-methods=$matches[3]"";s:32:""(.?.+?)/lost-password(/(.*))?/?$"";s:56:""index.php?pagename=$matches[1]&lost-password=$matches[3]"";s:34:""(.?.+?)/customer-logout(/(.*))?/?$"";s:58:""index.php?pagename=$matches[1]&customer-logout=$matches[3]"";s:37:""(.?.+?)/add-payment-method(/(.*))?/?$"";s:61:""index.php?pagename=$matches[1]&add-payment-method=$matches[3]"";s:40:""(.?.+?)/delete-payment-method(/(.*))?/?$"";s:64:""index.php?pagename=$matches[1]&delete-payment-method=$matches[3]"";s:45:""(.?.+?)/set-default-payment-method(/(.*))?/?$"";s:69:""index.php?pagename=$matches[1]&set-default-payment-method=$matches[3]"";s:31:"".?.+?/([^/]+)/wc-api(/(.*))?/?$"";s:51:""index.php?attachment=$matches[1]&wc-api=$matches[3]"";s:42:"".?.+?/attachment/([^/]+)/wc-api(/(.*))?/?$"";s:51:""index.php?attachment=$matches[1]&wc-api=$matches[3]"";s:42:"".?.+?/([^/]+)/wc/file/transient(/(.*))?/?$"";s:62:""index.php?attachment=$matches[1]&wc/file/transient=$matches[3]"";s:53:"".?.+?/attachment/([^/]+)/wc/file/transient(/(.*))?/?$"";s:62:""index.php?attachment=$matches[1]&wc/file/transient=$matches[3]"";s:24:""(.?.+?)(?:/([0-9]+))?/?$"";s:47:""index.php?pagename=$matches[1]&page=$matches[2]"";}",yes
30,hack_file,0,yes
31,blog_charset,UTF-8,yes
32,moderation_keys,,no
33,active_plugins,"a:3:{i:0;s:45:""woocommerce-payments/woocommerce-payments.php"";i:1;s:45:""woocommerce-services/woocommerce-services.php"";i:2;s:27:""woocommerce/woocommerce.php"";}",yes
34,category_base,,yes
35,ping_sites,http://rpc.pingomatic.com/,yes
36,comment_max_links,2,yes
37,gmt_offset,0,yes
38,default_email_category,1,yes
39,recently_edited,,no
40,template,petPalace,yes
41,stylesheet,petPalace,yes
42,comment_registration,0,yes
43,html_type,text/html,yes
44,use_trackback,0,yes
45,default_role,subscriber,yes
46,db_version,57155,yes
47,uploads_use_yearmonth_folders,1,yes
48,upload_path,,yes
49,blog_public,1,yes
50,default_link_category,2,yes
51,show_on_front,page,yes
52,tag_base,,yes
53,show_avatars,1,yes
54,avatar_rating,G,yes
55,upload_url_path,,yes
56,thumbnail_size_w,150,yes
57,thumbnail_size_h,150,yes
58,thumbnail_crop,1,yes
59,medium_size_w,300,yes
60,medium_size_h,300,yes
61,avatar_default,mystery,yes
62,large_size_w,1024,yes
63,large_size_h,1024,yes
64,image_default_link_type,none,yes
65,image_default_size,,yes
66,image_default_align,,yes
67,close_comments_for_old_posts,0,yes
68,close_comments_days_old,14,yes
69,thread_comments,1,yes
70,thread_comments_depth,5,yes
71,page_comments,0,yes
72,comments_per_page,50,yes
73,default_comments_page,newest,yes
74,comment_order,asc,yes
75,sticky_posts,a:0:{},yes
76,widget_categories,"a:2:{i:1;a:0:{}s:12:""_multiwidget"";i:1;}",yes
77,widget_text,"a:2:{i:1;a:0:{}s:12:""_multiwidget"";i:1;}",yes
78,widget_rss,"a:2:{i:1;a:0:{}s:12:""_multiwidget"";i:1;}",yes
79,uninstall_plugins,"a:1:{s:45:""woocommerce-services/woocommerce-services.php"";a:2:{i:0;s:17:""WC_Connect_Loader"";i:1;s:16:""plugin_uninstall"";}}",no
80,timezone_string,,yes
81,page_for_posts,0,yes
82,page_on_front,2,yes
83,default_post_format,0,yes
84,link_manager_enabled,0,yes
85,finished_splitting_shared_terms,1,yes
