action_id,note_id,name,label,query,status,actioned_text,nonce_action,nonce_name
599,40,woopay-beta-merchantrecruitment-short-activate-learnmore-06MAY23-TESTD,Learn More,https://woocommerce.com/woopay-businesses/?utm_source=inbox_note&utm_medium=product&utm_campaign=woopay-beta-merchantrecruitment-short-activate-learnmore-06MAY23-TESTD,unactioned,,,
600,41,woopay-beta-merchantrecruitment-short-activate-button-09MAY23,Activate WooPay,http://petpalace.test/wp-admin/admin.php?page=wc-settings&tab=checkout&section=woocommerce_payments&method=platform_checkout,unactioned,,,
601,41,woopay-beta-merchantrecruitment-short-activate-learnmore-button2-09MAY23,Learn More,https://woocommerce.com/woopay-businesses/?utm_source=inbox_note&utm_medium=product&utm_campaign=woopay-beta-merchantrecruitment-short-activate-learnmore-button2-09MAY23,unactioned,,,
602,42,woopay-beta-merchantrecruitment-short-update-WCPay-09MAY23,Update WooCommerce Payments,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,unactioned,,,
603,42,woopay-beta-merchantrecruitment-short-update-activate-09MAY23,Activate WooPay,http://petpalace.test/wp-admin/admin.php?page=wc-settings&tab=checkout&section=woocommerce_payments&method=platform_checkout,unactioned,,,
604,67,woocommerce-WCStripe-May-2023-updated-needed-Plugin-Settings,See available updates,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,unactioned,,,
605,67,woocommerce-WCStripe-May-2023-updated-needed-Plugin-Settings-dismiss,Dismiss,#,actioned,,,
606,68,woocommerce-WCPayments-June-2023-updated-needed-Plugin-Settings,See available updates,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,unactioned,,,
607,68,woocommerce-WCPayments-June-2023-updated-needed-Dismiss,Dismiss,#,actioned,,,
608,43,woocommerce-WCSubscriptions-June-2023-updated-needed-Plugin-Settings,See available updates,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,unactioned,,,
609,43,woocommerce-WCSubscriptions-June-2023-updated-needed-dismiss,Dismiss,#,actioned,,,
610,44,woocommerce-WCReturnsWarranty-June-2023-updated-needed,See available updates,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,unactioned,,,
611,44,woocommerce-WCReturnsWarranty-June-2023-updated-needed,Dismiss,#,actioned,,,
612,45,woocommerce-WCOPC-June-2023-updated-needed,See available updates,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,actioned,,,
613,45,woocommerce-WCOPC-June-2023-updated-needed,Dismiss,http://petpalace.test/wp-admin/#,actioned,,,
614,46,woocommerce-WCGC-July-2023-update-needed,See available updates,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,unactioned,,,
615,46,woocommerce-WCGC-July-2023-update-needed,Dismiss,#,actioned,,,
616,47,learn-more,Learn more,https://woocommerce.com/document/fedex/?utm_medium=product&utm_source=inbox_note&utm_campaign=learn-more#july-2023-api-outage,unactioned,,,
617,48,plugin-list,See available updates,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,unactioned,,,
618,48,dismiss,Dismiss,http://petpalace.test/wp-admin/admin.php?page=wc-admin,actioned,,,
619,49,woocommerce-WCStripe-Aug-2023-update-needed,See available updates,http://petpalace.test/wp-admin/update-core.php?,unactioned,,,
620,49,dismiss,Dismiss,#,actioned,,,
621,50,dismiss,Dismiss,#,actioned,,,
622,69,woocommerce-WooPayments-Aug-2023-update-needed,See available updates,http://petpalace.test/wp-admin/update-core.php?,unactioned,,,
623,69,dismiss,Dismiss,#,actioned,,,
624,51,dismiss,Dismiss,#,actioned,,,
625,52,avalara_q3-2023_noAvaTax,Automate my sales tax,https://woocommerce.com/products/woocommerce-avatax/?utm_source=inbox_note&utm_medium=product&utm_campaign=avalara_q3-2023_noAvaTax,unactioned,,,
626,53,woo-activation-survey-blockers-survey-button-22AUG23,Take our short survey,https://woocommerce.survey.fm/getting-started-with-woo,unactioned,,,
627,54,woocommerce-usermeta-Sept2023-productvendors,See available updates,http://petpalace.test/wp-admin/plugins.php,unactioned,,,
628,54,dismiss,Dismiss,http://petpalace.test/wp-admin/#,actioned,,,
629,55,woocommerce-STRIPE-Oct-2023-update-needed,See available updates,http://petpalace.test/wp-admin/update-core.php,unactioned,,,
630,55,dismiss,Dismiss,#,actioned,,,
631,56,amazon-mcf-review-button-2023-12-07,Leave a review,https://woocommerce.com/products/woocommerce-amazon-fulfillment/?review&utm_source=inbox_note&utm_medium=product&utm_campaign=amazon-mcf-review-button-2023-12-07,actioned,,,
632,56,amazon-mcf-support-button-2023-12-07,Request support,https://woocommerce.com/my-account/contact-support/?utm_source=inbox_note&utm_medium=product&utm_campaign=amazon-mcf-support-button-2023-12-07,actioned,,,
633,57,view_docs,Learn about Deposit schedules,https://woocommerce.com/document/woopayments/deposits/deposit-schedule/?utm_source=inbox_note&utm_medium=product&utm_campaign=view_docs#available-funds,unactioned,,,
634,59,checkout_survey_new_users_share_feedback,Share feedback,https://automattic.survey.fm/woocommerce-checkout-survey,unactioned,,,
635,64,checkout_survey_new_users_no_orders_share_feedback,Share feedback,https://automattic.survey.fm/woocommerce-checkout-survey,unactioned,,,
